Label,area_0,area_1,area_2,area_3,area_4
Parasitized,15461.0,122.0,0,0,0
Parasitized,19438.0,164.5,0,0,0
Parasitized,15475.0,92.5,36.5,0,0
Parasitized,14063.0,211.0,51.5,11.0,10.5
Parasitized,13885.0,0,0,0,0
Parasitized,16824.0,122.0,56.5,0,0
Parasitized,13864.5,109.5,0,0,0
Parasitized,13438.5,120.0,0,0,0
Parasitized,12748.0,83.0,0,0,0
Parasitized,12886.0,146.5,0,0,0
Parasitized,16517.5,169.0,34.5,0,0
Parasitized,14040.0,170.5,0,0,0
Parasitized,14371.5,137.0,0,0,0
Parasitized,13632.5,134.5,0,0,0
Parasitized,15093.0,0,0,0,0
Parasitized,11622.5,165.5,39.0,0,0
Parasitized,9677.5,459.0,283.0,16.5,6.0
Parasitized,14012.5,165.5,0,0,0
Parasitized,16841.0,146.0,0,0,0
Parasitized,15315.5,83.5,4.0,0,0
Parasitized,13954.0,170.0,0,0,0
Parasitized,10599.0,108.0,6.0,0,0
Parasitized,8495.0,0.5,0,0,0
Parasitized,13605.0,107.0,2.0,2.0,0
Parasitized,13216.0,41.0,0,0,0
Parasitized,12198.5,114.0,11.5,4.0,0
Parasitized,4964.5,349.0,39.5,0,0
Parasitized,13946.0,146.5,0,0,0
Parasitized,11048.0,146.0,115.5,0,0
Parasitized,9561.0,149.0,2.0,0,0
Parasitized,16358.0,172.5,9.5,7.0,0
Parasitized,10989.5,134.0,0,0,0
Parasitized,12668.5,156.0,2.0,2.0,2.0
Parasitized,12041.5,142.5,0,0,0
Parasitized,12987.0,97.0,0,0,0
Parasitized,15108.5,143.5,0,0,0
Parasitized,9544.5,383.5,15.0,4.0,4.0
Parasitized,8451.0,189.5,35.5,6.0,2.0
Parasitized,18057.0,204.0,0,0,0
Parasitized,16479.0,132.5,0,0,0
Parasitized,15191.0,105.0,0,0,0
Parasitized,11920.5,99.0,24.5,0,0
Parasitized,14253.0,96.0,0,0,0
Parasitized,10169.0,193.5,0,0,0
Parasitized,14434.5,88.0,23.5,0,0
Parasitized,13018.5,124.0,0,0,0
Parasitized,11988.0,16.0,0,0,0
Parasitized,13588.5,112.0,0,0,0
Parasitized,10925.5,62.5,0,0,0
Parasitized,9922.5,365.0,8.5,4.0,0.0
Parasitized,16957.5,0,0,0,0
Parasitized,13414.5,32.5,0,0,0
Parasitized,12525.0,212.5,0,0,0
Parasitized,14133.0,127.5,35.0,0,0
Parasitized,12824.0,142.5,0,0,0
Parasitized,14638.0,94.5,67.0,0,0
Parasitized,14233.5,117.0,0,0,0
Parasitized,261.5,203.5,97.5,53.5,19.5
Parasitized,11631.5,241.5,100.5,6.0,5.5
Parasitized,10377.0,0,0,0,0
Parasitized,7539.5,308.0,6.0,0,0
Parasitized,9433.5,238.5,237.5,22.5,7.0
Parasitized,17254.5,278.0,37.0,12.0,8.5
Parasitized,12883.0,241.0,13.5,4.0,2.0
Parasitized,180.0,40.5,36.0,34.0,27.5
Parasitized,134.5,29.5,16.5,8.0,5.5
Parasitized,12046.5,204.5,50.5,46.5,40.5
Parasitized,13836.0,317.5,2.0,0,0
Parasitized,19214.5,93.0,62.0,36.0,2.0
Parasitized,12168.0,233.5,9.0,7.5,6.0
Parasitized,209.0,37.5,29.0,18.0,8.5
Parasitized,15583.5,195.0,46.5,0,0
Parasitized,18052.0,183.0,163.5,0,0
Parasitized,18509.5,70.5,0,0,0
Parasitized,17295.0,241.5,63.0,38.5,34.0
Parasitized,16423.5,244.5,169.5,105.5,45.5
Parasitized,12117.0,165.5,159.5,0,0
Parasitized,11014.5,138.5,0,0,0
Parasitized,15370.5,159.0,4.0,0,0
Parasitized,12832.5,114.5,40.0,0,0
Parasitized,10285.5,223.0,128.0,52.0,13.0
Parasitized,234.5,46.5,34.5,17.0,6.0
Parasitized,112.0,24.5,13.0,13.0,10.0
Parasitized,11854.5,122.5,0,0,0
Parasitized,14835.5,189.0,142.5,86.5,66.0
Parasitized,14378.0,74.5,0,0,0
Parasitized,8019.5,221.0,29.5,0,0
Parasitized,109.5,52.5,37.0,23.0,8.0
Parasitized,16301.0,197.0,9.0,7.0,6.0
Parasitized,14179.0,195.5,11.0,11.0,11.0
Parasitized,9153.0,7.5,0,0,0
Parasitized,17430.0,225.0,23.5,7.0,4.0
Parasitized,13184.5,189.5,0,0,0
Parasitized,16753.0,366.0,16.5,0,0
Parasitized,9909.0,449.0,4.0,0.0,0
Parasitized,14709.5,443.0,43.5,7.0,5.5
Parasitized,344.0,38.5,30.5,15.0,12.5
Parasitized,15454.0,258.5,192.0,185.0,174.5
Parasitized,12892.0,164.5,2.0,2.0,2.0
Parasitized,16298.0,191.5,29.0,14.0,2.0
Parasitized,15674.0,103.0,0,0,0
Parasitized,13543.5,0,0,0,0
Parasitized,10889.5,133.5,0,0,0
Parasitized,12589.5,231.0,2.0,0,0
Parasitized,12772.0,292.0,4.0,4.0,0
Parasitized,11415.0,254.0,168.5,23.5,0
Parasitized,12011.0,32.5,0,0,0
Parasitized,14170.5,175.5,17.5,11.5,4.0
Parasitized,9854.5,196.5,23.5,8.5,2.0
Parasitized,10756.5,256.5,174.5,15.5,2.0
Parasitized,12294.0,180.5,0,0,0
